epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.4109,1.44664,1.7806,1.87903,0.61005,0.56357,0.58563,0.33998,1.44619,1.59964,1.92083,0.00033232,0.00033232,0.00033232
2,117.219,1.4681,1.78156,1.88186,0.5134,0.62796,0.60609,0.36811,1.36683,1.49968,1.83788,0.000643687,0.000643687,0.000643687
3,171.978,1.45046,1.7328,1.84257,0.59376,0.65288,0.6614,0.39383,1.37953,1.36769,1.81709,0.000933054,0.000933054,0.000933054
4,225.845,1.41892,1.65296,1.79709,0.63208,0.6598,0.68236,0.43256,1.26051,1.27311,1.69496,0.000901,0.000901,0.000901
5,279.596,1.38541,1.58995,1.76387,0.59145,0.68532,0.67933,0.42161,1.28428,1.28368,1.72719,0.000868,0.000868,0.000868
6,333.71,1.3423,1.49946,1.71049,0.63832,0.67647,0.67723,0.44046,1.20419,1.24495,1.63439,0.000835,0.000835,0.000835
7,387.154,1.31616,1.43049,1.68218,0.62994,0.70599,0.71322,0.46305,1.21105,1.14907,1.63879,0.000802,0.000802,0.000802
8,441.294,1.30291,1.40643,1.66383,0.67711,0.73182,0.75852,0.50488,1.19543,1.07768,1.60184,0.000769,0.000769,0.000769
9,495.592,1.2922,1.36509,1.65432,0.69048,0.74339,0.77627,0.52494,1.14064,1.03385,1.55602,0.000736,0.000736,0.000736
10,549.562,1.25029,1.31469,1.62142,0.73563,0.71994,0.78749,0.52507,1.17062,1.02453,1.57752,0.000703,0.000703,0.000703
11,603.977,1.23094,1.2913,1.60532,0.7307,0.72875,0.79504,0.53257,1.13825,0.99857,1.55672,0.00067,0.00067,0.00067
12,657.654,1.22494,1.26361,1.59926,0.71325,0.73665,0.803,0.54661,1.11816,0.97108,1.52276,0.000637,0.000637,0.000637
13,711.95,1.21581,1.23442,1.58704,0.70342,0.76869,0.80535,0.55943,1.085,0.93734,1.49772,0.000604,0.000604,0.000604
14,764.417,1.20198,1.21238,1.57185,0.75642,0.74476,0.82132,0.57925,1.05949,0.89699,1.45998,0.000571,0.000571,0.000571
15,817.737,1.18073,1.17781,1.55459,0.7233,0.76104,0.81692,0.56839,1.0667,0.91785,1.45827,0.000538,0.000538,0.000538
16,871.699,1.17944,1.17098,1.55091,0.76219,0.77592,0.8356,0.58608,1.06595,0.87772,1.46472,0.000505,0.000505,0.000505
17,921.75,1.15389,1.13919,1.53474,0.74226,0.79227,0.83987,0.59016,1.05164,0.86361,1.43833,0.000472,0.000472,0.000472
18,971.054,1.15048,1.11792,1.52601,0.75473,0.75209,0.8196,0.58078,1.03622,0.86845,1.43372,0.000439,0.000439,0.000439
19,1021.55,1.14542,1.0968,1.52402,0.77117,0.80158,0.85514,0.60556,1.02949,0.80271,1.41591,0.000406,0.000406,0.000406
20,1071.28,1.13656,1.09704,1.51294,0.77371,0.80073,0.85523,0.60543,1.02678,0.80269,1.41859,0.000373,0.000373,0.000373
21,1136.3,1.0826,0.92091,1.51101,0.74793,0.79877,0.83803,0.5932,1.02853,0.81959,1.42344,0.00034,0.00034,0.00034
22,1185.71,1.06633,0.89714,1.49513,0.8049,0.77928,0.86617,0.61533,1.01623,0.79292,1.41151,0.000307,0.000307,0.000307
23,1234.99,1.05039,0.87398,1.48241,0.78245,0.80579,0.86616,0.62338,0.99539,0.76308,1.38763,0.000274,0.000274,0.000274
24,1284.66,1.03163,0.83447,1.46372,0.80806,0.80126,0.87602,0.63259,0.98787,0.74784,1.38444,0.000241,0.000241,0.000241
25,1337.9,1.01802,0.82317,1.45675,0.81374,0.81549,0.88533,0.63403,0.9965,0.74234,1.38908,0.000208,0.000208,0.000208
26,1390.12,1.00831,0.80157,1.43966,0.8242,0.81587,0.89117,0.64986,0.96674,0.69664,1.36074,0.000175,0.000175,0.000175
27,1442.88,0.99884,0.77667,1.44167,0.8174,0.83603,0.89533,0.65419,0.96621,0.69453,1.36203,0.000142,0.000142,0.000142
28,1495.08,0.98347,0.75406,1.42646,0.81882,0.83299,0.89477,0.65344,0.96346,0.68484,1.35169,0.000109,0.000109,0.000109
29,1547.79,0.98228,0.73974,1.4223,0.82558,0.84012,0.89946,0.65943,0.95832,0.67829,1.35342,7.6e-05,7.6e-05,7.6e-05
30,1600.31,0.9713,0.72486,1.4069,0.8201,0.84306,0.90186,0.66372,0.94937,0.66697,1.34259,4.3e-05,4.3e-05,4.3e-05
